code,name,seat_type,pass_code,currency,country ,country ,country , 
at03days01monthadultfirst,01个月任意03天,成人一等座,at03days01month,EUR,Austria, , , 
at03days01monthchildfirst,01个月任意03天,儿童一等座,at03days01month,EUR,Austria, , , 
at03days01monthyouthfirst,01个月任意03天,青年一等座,at03days01month,EUR,Austria, , , 
at03days01monthadultstandard,01个月任意03天,成人二等座,at03days01month,EUR,Austria, , , 
at03days01monthchildstandard,01个月任意03天,儿童二等座,at03days01month,EUR,Austria, , , 
at03days01monthyouthstandard,01个月任意03天,青年二等座,at03days01month,EUR,Austria, , , 
at04days01monthadultfirst,01个月任意04天,成人一等座,at04days01month,EUR,Austria, , , 
at04days01monthchildfirst,01个月任意04天,儿童一等座,at04days01month,EUR,Austria, , , 
at04days01monthyouthfirst,01个月任意04天,青年一等座,at04days01month,EUR,Austria, , , 
at04days01monthadultstandard,01个月任意04天,成人二等座,at04days01month,EUR,Austria, , , 
at04days01monthchildstandard,01个月任意04天,儿童二等座,at04days01month,EUR,Austria, , , 
at04days01monthyouthstandard,01个月任意04天,青年二等座,at04days01month,EUR,Austria, , , 
at05days01monthadultfirst,01个月任意05天,成人一等座,at05days01month,EUR,Austria, , , 
at05days01monthchildfirst,01个月任意05天,儿童一等座,at05days01month,EUR,Austria, , , 
at05days01monthyouthfirst,01个月任意05天,青年一等座,at05days01month,EUR,Austria, , , 
at05days01monthadultstandard,01个月任意05天,成人二等座,at05days01month,EUR,Austria, , , 
at05days01monthchildstandard,01个月任意05天,儿童二等座,at05days01month,EUR,Austria, , , 
at05days01monthyouthstandard,01个月任意05天,青年二等座,at05days01month,EUR,Austria, , , 
at08days01monthadultfirst,01个月任意08天,成人一等座,at08days01month,EUR,Austria, , , 
at08days01monthchildfirst,01个月任意08天,儿童一等座,at08days01month,EUR,Austria, , , 
at08days01monthyouthfirst,01个月任意08天,青年一等座,at08days01month,EUR,Austria, , , 
at08days01monthadultstandard,01个月任意08天,成人二等座,at08days01month,EUR,Austria, , , 
at08days01monthchildstandard,01个月任意08天,儿童二等座,at08days01month,EUR,Austria, , , 
at08days01monthyouthstandard,01个月任意08天,青年二等座,at08days01month,EUR,Austria, , , 
at03days01monthsaveadultfirst,01个月任意03天,成人一等座,at03days01monthsave,EUR,Austria, , , 
at03days01monthsavechildfirst,01个月任意03天,儿童一等座,at03days01monthsave,EUR,Austria, , , 
at03days01monthsaveadultstandard,01个月任意03天,成人二等座,at03days01monthsave,EUR,Austria, , , 
at03days01monthsavechildstandard,01个月任意03天,儿童二等座,at03days01monthsave,EUR,Austria, , , 
at04days01monthsaveadultfirst,01个月任意04天,成人一等座,at04days01monthsave,EUR,Austria, , , 
at04days01monthsavechildfirst,01个月任意04天,儿童一等座,at04days01monthsave,EUR,Austria, , , 
at04days01monthsaveadultstandard,01个月任意04天,成人二等座,at04days01monthsave,EUR,Austria, , , 
at04days01monthsavechildstandard,01个月任意04天,儿童二等座,at04days01monthsave,EUR,Austria, , , 
at05days01monthsaveadultfirst,01个月任意05天,成人一等座,at05days01monthsave,EUR,Austria, , , 
at05days01monthsavechildfirst,01个月任意05天,儿童一等座,at05days01monthsave,EUR,Austria, , , 
at05days01monthsaveadultstandard,01个月任意05天,成人二等座,at05days01monthsave,EUR,Austria, , , 
at05days01monthsavechildstandard,01个月任意05天,儿童二等座,at05days01monthsave,EUR,Austria, , , 
at08days01monthsaveadultfirst,01个月任意08天,成人一等座,at08days01monthsave,EUR,Austria, , , 
at08days01monthsavechildfirst,01个月任意08天,儿童一等座,at08days01monthsave,EUR,Austria, , , 
at08days01monthsaveadultstandard,01个月任意08天,成人二等座,at08days01monthsave,EUR,Austria, , , 
